City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,hawaiian paradise park,19.5933,-154.9731,21.05,97,100,2.06,US,1683693641
82,iskateley,67.6803,53.1512,-0.47,83,100,4.63,RU,1683693814
83,tangjiazhuang,39.7333,118.45,28.5,14,82,3.56,CN,1683693814
84,katsuura,35.1333,140.3,18.16,61,14,5.27,JP,1683693814
85,susuman,62.7833,148.1667,6.71,52,36,7.41,RU,1683693787
86,bandon,51.7469,-8.7425,10.77,85,94,5.28,IE,1683693815
87,port lincoln,-34.7333,135.8667,16.37,65,25,5.42,AU,1683693815
88,fort mcmurray,56.7268,-111.381,12.73,76,0,1.03,CA,1683693816
89,sequeira,40.5536,-7.2259,5.55,72,97,2.72,PT,1683693816
90,sidi akkacha,36.4647,1.3026,20.16,81,23,3.5,DZ,1683693817
91,devils lake,48.1128,-98.8651,14.06,82,0,4.12,US,1683693817
92,invercargill,-46.4,168.35,8.34,95,69,1.34,NZ,1683693631
93,nagato,34.3833,131.2,19.72,54,83,2.8,JP,1683693818
94,illizi,26.4833,8.4667,16.89,45,6,0.72,DZ,1683693818
95,port mathurin,-19.6833,63.4167,25.45,74,3,5.71,MU,1683693819
96,hailey,43.5196,-114.3153,5.92,68,0,2.06,US,1683693715
97,mangrol,21.1167,70.1167,31.86,52,42,5.21,IN,1683693709
98,trincomalee,8.5711,81.2335,29.04,74,100,3.64,LK,1683693820
99,longyearbyen,78.2186,15.6401,-2.09,74,75,6.17,SJ,1683693820
100,magadan,59.5667,150.8,8.63,78,37,3.2,RU,1683693625
101,santarem,-2.4431,-54.7083,25.07,100,0,0.0,BR,1683693821
102,college,64.8569,-147.8028,13.97,39,75,2.06,US,1683693821
103,puerto ayora,-0.7393,-90.3518,25.31,98,28,0.89,EC,1683693581
104,ath thawrah,35.8469,38.5443,21.33,51,15,4.21,SY,1683693823
105,kristiansund,63.1115,7.732,12.36,58,75,1.54,NO,1683693823
106,bethel,41.3712,-73.414,10.87,73,1,1.21,US,1683693622
107,bilibino,68.0546,166.4372,-2.23,82,100,1.33,RU,1683693624
108,lazaro cardenas,17.9583,-102.2,26.47,78,0,2.04,MX,1683693625
109,nar'yan-mar,67.6713,53.087,-0.43,83,100,4.65,RU,1683693825
110,lompoc,34.6391,-120.4579,13.11,89,0,3.09,US,1683693658
111,chonchi,-42.6128,-73.8092,12.56,97,100,0.55,CL,1683693643
112,fauske,67.2588,15.3918,10.53,77,99,2.64,NO,1683693826
113,kodiak,57.79,-152.4072,5.73,87,100,9.26,US,1683693826
114,walvis bay,-22.9575,14.5053,11.53,87,3,1.54,NA,1683693827
115,saipan,15.1355,145.701,31.39,100,40,4.63,MP,1683693827
116,afaahiti,-17.75,-149.2833,24.93,83,71,9.2,PF,1683693827
117,bereeda,11.8704,51.0579,29.13,60,84,1.16,SO,1683693828
118,lethem,3.3803,-59.7968,25.5,80,100,4.92,GY,1683693828
119,hasaki,35.7333,140.8333,24.05,57,17,4.25,JP,1683693647
120,taroa,8.7058,171.2275,26.63,86,95,7.62,MH,1683693829
121,vilyuchinsk,52.9306,158.4028,10.15,79,33,1.72,RU,1683693830
122,kidal,18.4411,1.4078,28.42,10,51,5.27,ML,1683693830
123,avarua,-21.2078,-159.775,24.03,88,75,8.75,CK,1683693636
124,ust-nera,64.5667,143.2,4.36,42,75,4.14,RU,1683693831
125,udangudi,8.4333,78.0167,31.1,58,88,0.76,IN,1683693831
126,luderitz,-26.6481,15.1594,16.1,58,90,1.84,NA,1683693831
127,sinabang,2.4803,96.3801,30.29,65,94,3.82,ID,1683693832
128,gilgit,35.9221,74.3087,15.45,28,0,1.84,PK,1683693832
129,northam,51.0333,-4.2167,11.48,96,84,5.37,GB,1683693833
130,kogalym,62.2654,74.4791,5.22,63,100,10.03,RU,1683693833
131,wanning,18.8003,110.3967,28.2,84,56,3.35,CN,1683693833
132,kuraymah,18.55,31.85,25.99,15,62,6.28,SD,1683693834
133,kimbe,-5.5502,150.1429,28.96,82,99,1.06,PG,1683693834
134,jinchang,38.4953,102.1739,18.56,14,100,7.22,CN,1683693835
135,road town,18.4167,-64.6167,28.05,75,59,7.85,VG,1683693835
136,udachny,66.4167,112.4,-5.86,62,100,7.6,RU,1683693835
137,lihue,21.9789,-159.3672,25.58,76,100,6.17,US,1683693549
138,namibe,-15.1961,12.1522,22.95,85,2,2.13,AO,1683693836
139,nuku'alofa,-21.1333,-175.2,27.19,94,40,3.6,TO,1683693836
140,ishim,56.1128,69.4902,10.74,28,26,3.01,RU,1683693837
141,badger,64.8,-147.5333,13.93,29,40,2.06,US,1683693668
142,kujang-up,39.8672,126.0303,22.84,33,100,1.48,KP,1683693838
143,kingston,17.997,-76.7936,25.13,88,91,0.45,JM,1683693613
144,el bayadh,33.6832,1.0193,14.99,45,37,1.68,DZ,1683693838
145,el calafate,-50.3408,-72.2768,3.71,84,80,1.73,AR,1683693839
146,margaret river,-33.95,115.0667,14.25,65,99,11.95,AU,1683693839
147,kralendijk,12.15,-68.2667,26.99,78,75,8.23,BQ,1683693840
148,kalmunai,7.4167,81.8167,28.19,76,100,2.59,LK,1683693840
149,nirmal,19.1,78.35,37.06,30,33,2.29,IN,1683693840
150,gadzhiyevo,69.2551,33.3362,2.16,99,100,3.82,RU,1683693841
151,tondano,1.3038,124.9112,28.05,75,87,0.92,ID,1683693841
152,thompson,55.7435,-97.8558,14.09,72,75,1.54,CA,1683693842
153,cambria,35.5641,-121.0808,13.75,88,7,1.34,US,1683693842
154,aconibe,1.2968,10.9369,20.35,99,98,0.91,GQ,1683693842
155,dinguiraye,11.3,-10.7167,25.58,50,100,2.0,GN,1683693843
156,okhotsk,59.3833,143.3,5.82,73,18,4.08,RU,1683693844
157,kayangel,8.0823,134.7173,28.86,72,81,1.19,PW,1683693844
158,sisimiut,66.9395,-53.6735,-1.01,82,100,3.52,GL,1683693844
159,kharkhorin,47.1975,102.8238,12.53,29,89,3.37,MN,1683693845
160,wad rawah,15.1603,33.1397,29.23,10,41,5.44,SD,1683693845
161,grand falls-windsor,48.9332,-55.6649,2.5,79,100,3.13,CA,1683693815
162,xam nua,20.4197,104.0439,25.57,81,98,0.6,LA,1683693846
